ep,mgr_lr,loss,plan_score_mean,quality_ema,plan_len_mean,plan_len_ref_mean,plan_under_rate,plan_over_rate,anchor_hop_err_mean,anchor_near_rate,spacing_error_mean,monotonic_violation_rate,first_subgoal_hops_mean,segment_budget_error_mean,first_segment_budget_err_mean,first_segment_overshoot_mean,frontloaded_overshoot_rate,hard_anchor_near_rate,hard_under_rate,hard_first_segment_overshoot,hard_segment_budget_error,corridor_ratio_mean,mgr_grad_norm_preclip,mgr_grad_norm_postclip,manager_clip_hit_rate,mgr_entropy,mgr_nll,aux_ce_loss,warmstart_active,policy_weight,aux_weight
6200,0.0001,1.2050220966339111,-3.4508986473083496,0.35009574094608314,4.1875,4.0,0.0,0.0,2.09375,0.3828125,0.08447265625,0.0390625,4.5,1.4085936546325684,0.9375,0.375,0.2109375,0.3828125,0.0,0.375,1.4085936546325684,0.9781249761581421,17.400564193725586,17.400565239125793,0.0,2.400237560272217,3.9969935417175293,2.711758613586426,0.0,0.5,0.5
6400,0.0001,1.2310878038406372,-4.3355207443237305,0.3050547941497966,4.375,4.0,0.0,0.0,2.359375,0.203125,0.1397569477558136,0.0625,2.9375,2.223437547683716,1.65625,0.0,0.10781249403953552,0.203125,0.0,0.0,2.223437547683716,0.9937499761581421,47.034603118896484,20.000002294232885,1.0,2.9032254219055176,5.121029376983643,4.904399871826172,0.0,0.5,0.5
6600,0.0001,2.025291681289673,-3.478437662124634,0.3971064946518516,2.625,2.0,0.0,0.03125,2.390625,0.25,0.1451822966337204,0.03125,2.65625,1.8567707538604736,1.46875,0.0,0.010416666977107525,0.0,0.0,0.0,0.0,0.9895833730697632,32.81698226928711,20.00000020388852,1.0,2.074998617172241,2.4654364585876465,3.619058609008789,0.0,0.5,0.5
6800,0.0001,1.4475141763687134,-2.657916784286499,0.33880983187340646,3.5,3.0,0.03125,0.03125,2.84375,0.2083333432674408,0.0768229067325592,0.010416666977107525,4.0625,1.1927082538604736,0.5625,0.03125,0.17291666567325592,0.0,0.0,0.0,0.0,0.9286458492279053,12.061942100524902,12.061942140779824,0.0,1.7317556142807007,3.8982672691345215,3.140684127807617,0.0,0.5,0.5
7000,9.999998079630397e-05,-0.32825297117233276,-2.364665985107422,0.3265237896061133,4.28125,4.0,0.03125,0.0,1.890625,0.46875,0.10538198053836823,0.0546875,3.53125,1.415842056274414,0.65625,0.0234375,0.11770833283662796,0.46875,0.03125,0.0234375,1.415842056274414,0.9859374761581421,7.726740837097168,7.726741017029343,0.0,2.968637228012085,5.604825973510742,2.658217668533325,0.0,0.5,0.5
7200,9.922701355936614e-05,2.7477667331695557,-3.251586675643921,0.3299346980095875,3.3125,3.0,0.0,0.03125,2.5520832538604736,0.1666666716337204,0.12168559432029724,0.0,4.1875,1.0818575620651245,1.2083332538604736,0.2708333134651184,0.2770833373069763,0.0,0.0,0.0,0.0,0.9635416865348816,32.33919143676758,19.999998576848395,1.0,2.1745259761810303,4.962930679321289,3.1569666862487793,0.0,0.5,0.5
7400,9.69571674874169e-05,0.2424927055835724,-4.682495594024658,0.28232648973735536,3.84375,4.0,0.15625,0.0,2.953125,0.171875,0.10572916269302368,0.078125,4.875,1.6286892890930176,1.328125,0.4140625,0.5416666865348816,0.171875,0.15625,0.4140625,1.6286892890930176,1.0,29.769054412841797,20.00000015672207,1.0,3.150559663772583,4.764850616455078,3.122877836227417,0.0,0.5,0.5
7600,9.328971167204506e-05,0.5736209154129028,-4.069246292114258,0.4478723489306471,3.9375,4.0,0.09375,0.0,2.3463540077209473,0.2942708432674408,0.13024553656578064,0.1015625,4.34375,1.296788215637207,1.15625,0.421875,0.3552083373069763,0.2942708432674408,0.09375,0.421875,1.296788215637207,0.9921875,17.66016960144043,17.66017001376298,0.0,2.1074728965759277,4.765850067138672,2.624162197113037,0.0,0.5,0.5
7800,8.838503804983736e-05,1.514233946800232,-3.598897933959961,0.33429251971688717,3.125,3.0,0.03125,0.0,2.2135417461395264,0.25,0.14244791865348816,0.010416666977107525,4.34375,1.0516493320465088,1.28125,0.5,0.296875,0.0,0.0,0.0,0.0,0.9921875,30.826478958129883,20.0000000771683,1.0,1.909393548965454,4.784650802612305,2.6795780658721924,0.0,0.5,0.5
8000,8.245764684661657e-05,0.059228457510471344,-0.9531251192092896,0.3357201877611598,1.0,1.0,0.0,0.0,0.78125,0.625,0.015625,0.0,1.78125,0.96875,0.96875,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.96754264831543,18.967542778433497,0.0,1.5268291234970093,1.1735308170318604,0.8551311492919922,0.0,0.7,0.3
