episode,success_rate,success_ema,goal_dist_mean,goal_hop_mean,best_goal_dist_mean,best_goal_hops_mean,progress_mean,goal_progress_per100,stagnation_fail_rate,loop_fail_rate,timeout_fail_rate,path_length_ratio,teacher_path_hops_mean,teacher_hidden_checkpoint_count_actual,worker_aux_ce_loss,worker_entropy,critic_explained_variance,hidden_checkpoint_count_mean,hidden_checkpoint_hit_rate,ordered_checkpoint_completion_ratio,hidden_checkpoint_hit_at_rank_1,hidden_checkpoint_hit_at_rank_2,hidden_checkpoint_hit_at_rank_3plus,goal_neighbor_rate,goal_neighbor_success_rate,goal_hop_1_hit_rate,goal_hop_1_to_success_rate,goal_regression_after_best4_rate,near_goal_ce_mult_applied_rate,goal_threshold_hit_8_rate,goal_threshold_hit_4_rate,goal_threshold_hit_2_rate,stagnation_reset_on_best_goal_improve_count,stagnation_reset_near_goal_count,stagnation_reset_goal4_count,stagnation_reset_goal2_count,reward_mean,loss,wkr_lr,worker_grad_pre,worker_grad_post,worker_grad_clip_hit,hidden_bonus_weight,aux_weight
7200,96.875,88.2331799060884,872.84375,0.21875,589.0625,0.15625,98.20899963378906,2.512301445007324,3.125,0.0,0.0,3.1674108505249023,14.0,2.0,2.4506397247314453,0.5167776942253113,0.08596032857894897,2.0,18.75,12.5,18.75,6.25,0.0,96.875,86.1111068725586,96.875,100.0,43.75,7.8224101066589355,100.0,96.875,96.875,19.40625,1.9375,0.96875,0.96875,-70.41644287109375,0.3108806312084198,2.630502900264941e-05,1.1113664176817006,1.1113664176817006,0.0,0.75,0.12
7400,75.0,89.19689987364006,4481.53125,1.90625,2247.28125,0.96875,83.1591010093689,4.341639518737793,25.0,0.0,0.0,2.721874952316284,10.0,2.0,2.596190929412842,0.41322681307792664,0.20642125606536865,2.0,96.875,93.75,96.875,90.625,0.0,81.25,66.66667175292969,81.25,92.30770111083984,71.875,12.858782768249512,96.875,90.625,90.625,8.09375,1.8125,0.90625,0.90625,-59.5465202331543,0.6459465026855469,2.4185076202346875e-05,1.8502026905622573,1.8502026905622573,0.0,0.75,0.12
7600,87.5,89.5542889333672,2356.34375,1.0,409.25,0.3125,91.31749868392944,4.045017242431641,12.5,0.0,0.0,2.7727274894714355,11.0,2.0,2.7897329330444336,0.47286561131477356,0.22043824195861816,2.0,46.875,42.1875,46.875,37.5,0.0,90.625,96.55171966552734,90.625,96.55171966552734,78.125,9.733607292175293,100.0,100.0,90.625,11.125,1.90625,1.0,0.90625,-10.476334571838379,0.4813094437122345,2.2186735828273994e-05,1.0564590242022227,1.0564590242022227,0.0,0.75,0.12
7800,100.0,88.17282330301651,0.0,0.0,0.0,0.0,100.0,4.857731819152832,0.0,0.0,0.0,1.9713541269302368,12.0,2.0,2.472531795501709,0.45702776312828064,-0.6547509431838989,2.0,75.0,59.375,75.0,43.75,0.0,100.0,91.42857360839844,100.0,100.0,50.0,13.738441467285156,100.0,100.0,100.0,13.90625,2.0,1.0,1.0,-2.944352388381958,0.22537007927894592,2.031789441693248e-05,0.9981042682024058,0.9981042682024058,0.0,0.75,0.12
8000,93.75,88.8838237070208,940.53125,0.4375,252.46875,0.09375,91.67597889900208,13.589733123779297,6.25,0.0,0.0,1.37890625,8.0,1.0,2.679288625717163,0.4333270490169525,0.49577558040618896,1.0,21.875,21.875,21.875,0.0,0.0,96.875,76.92308044433594,96.875,96.7741928100586,40.625,34.84419250488281,100.0,100.0,100.0,5.28125,2.0,1.0,1.0,-6.072826862335205,0.3754045069217682,1.85859274315805e-05,1.5336803917327402,1.5336803917327402,0.0,0.75,0.12
8200,90.625,90.30238184210052,2325.03125,0.78125,1150.09375,0.40625,90.67077040672302,3.3680458068847656,9.375,0.0,0.0,4.660714149475098,7.0,1.0,2.879230499267578,0.4622720777988434,0.09074515104293823,1.0,43.75,43.75,43.75,0.0,0.0,90.625,80.55555725097656,90.625,100.0,50.0,11.206896781921387,100.0,96.875,90.625,12.125,1.875,0.96875,0.90625,-29.22481918334961,0.4482225477695465,1.699767015464882e-05,1.4188573591381788,1.4188573591381788,0.0,0.75,0.12
8400,100.0,87.70361499416623,0.0,0.0,0.0,0.0,100.0,5.768459320068359,0.0,0.0,0.0,2.045454502105713,11.0,2.0,2.894965887069702,0.4511868953704834,-1.469484806060791,2.0,90.625,73.4375,90.625,56.25,0.0,100.0,76.19047546386719,100.0,100.0,68.75,19.86111068725586,100.0,100.0,100.0,12.90625,2.0,1.0,1.0,-123.17337799072266,0.34067055583000183,1.5559390712003703e-05,1.5447539552720786,1.5447539552720786,0.0,0.75,0.12
8600,93.75,88.04535615999943,808.53125,0.5,188.125,0.15625,97.91948199272156,2.9371917247772217,6.25,0.0,0.0,2.251838207244873,17.0,2.0,2.8196232318878174,0.531502902507782,0.3023425340652466,2.0,31.25,26.5625,31.25,21.875,0.0,93.75,100.0,93.75,100.0,46.875,8.408163070678711,100.0,100.0,96.875,19.4375,1.96875,1.0,0.96875,-49.4091796875,0.4063001573085785,1.4276765335517922e-05,0.8083130881727079,0.8083130881727079,0.0,0.75,0.12
8800,90.625,89.83210666708241,2260.5625,0.78125,1379.40625,0.46875,91.6216492652893,4.32193660736084,9.375,0.0,0.0,3.0208334922790527,9.0,1.0,2.7103710174560547,0.5069587230682373,0.26009219884872437,1.0,53.125,53.125,53.125,0.0,0.0,90.625,87.8787841796875,90.625,100.0,50.0,11.839080810546875,100.0,93.75,90.625,11.5625,1.84375,0.9375,0.90625,-14.294899940490723,0.4193125367164612,1.3154855961576652e-05,1.3611365888033102,1.3611365888033102,0.0,0.75,0.12
9000,59.375,87.6045194544921,8656.25,2.90625,3072.28125,0.71875,53.68760824203491,5.307722091674805,40.625,0.0,0.0,3.562500238418579,7.0,1.0,2.501469135284424,0.4415629804134369,0.20906460285186768,1.0,65.625,65.625,65.625,0.0,0.0,84.375,67.85713958740234,84.375,70.37036895751953,71.875,12.907268524169922,100.0,96.875,90.625,6.40625,1.875,0.96875,0.90625,-47.016605377197266,0.8012847900390625,1.2198090253927218e-05,3.8321907966314863,3.8321907966314863,0.0,0.75,0.12
